Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
507,Paul Watson\watsopa01,SF,26,TOR,27,2,297,38,82,.463,30,64,.469,8,18,.444,.646,5,8,.625,4,41,45,17,6,3,9,36,111
508,Quinndary Weatherspoon\weathqu01,SG,24,SAS,17,0,76,6,16,.375,0,2,.000,6,14,.429,.375,7,8,.875,2,4,6,5,6,2,9,13,19
509,Russell Westbrook\westbru01,PG,32,WAS,57,57,2042,476,1082,.440,72,229,.314,404,853,.474,.473,226,355,.637,96,540,636,627,76,19,279,161,1250
510,Coby White\whiteco01,PG,20,CHI,61,46,1888,325,787,.413,131,380,.345,194,407,.477,.496,122,134,.910,23,224,247,284,34,13,137,159,903
511,Derrick White\whitede01,SG,26,SAS,36,32,1064,186,453,.411,84,243,.346,102,210,.486,.503,97,114,.851,13,94,107,127,26,36,45,91,553
512,Hassan Whiteside\whiteha01,C,31,SAC,36,4,546,126,224,.563,0,1,.000,126,223,.565,.563,41,79,.519,61,154,215,20,9,46,40,73,293
513,Greg Whittington\whittgr01,PF,27,DEN,4,0,12,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0
514,Andrew Wiggins\wiggian01,PF,25,GSW,64,64,2118,438,928,.472,125,329,.380,313,599,.523,.539,158,223,.709,69,236,305,152,63,64,117,140,1159
515,Grant Williams\willigr01,PF,22,BOS,56,8,1014,90,209,.431,43,115,.374,47,94,.500,.533,22,40,.550,43,111,154,54,30,21,49,142,245
516,Kenrich Williams\willike04,PF,26,OKC,64,12,1373,205,387,.530,47,109,.431,158,278,.568,.590,36,63,.571,83,183,266,143,50,15,72,136,493
517,Lou Williams\willilo02,PG,34,TOT,59,4,1314,246,599,.411,64,162,.395,182,437,.416,.464,143,166,.861,20,103,123,201,47,6,97,58,699
517,Lou Williams\willilo02,PG,34,LAC,42,3,918,181,430,.421,45,119,.378,136,311,.437,.473,103,119,.866,15,73,88,144,39,4,66,42,510
517,Lou Williams\willilo02,PG,34,ATL,17,1,396,65,169,.385,19,43,.442,46,126,.365,.441,40,47,.851,5,30,35,57,8,2,31,16,189
518,Patrick Williams\willipa01,PF,19,CHI,63,63,1776,226,472,.479,48,124,.387,178,348,.511,.530,79,107,.738,54,233,287,87,55,40,86,114,579
519,Robert Williams\williro04,C,23,BOS,50,11,953,180,251,.717,0,2,.000,180,249,.723,.717,45,71,.634,130,220,350,91,42,89,51,103,405
520,Zion Williamson\willizi01,PF,20,NOP,59,59,1952,614,996,.616,10,32,.313,604,964,.627,.621,354,510,.694,157,264,421,218,53,37,157,134,1592
521,D.J. Wilson\wilsodj01,PF,24,TOT,35,1,433,68,168,.405,30,87,.345,38,81,.469,.494,17,25,.680,20,92,112,23,11,16,22,44,183
521,D.J. Wilson\wilsodj01,PF,24,MIL,12,0,105,16,43,.372,10,28,.357,6,15,.400,.488,1,2,.500,3,22,25,3,1,4,4,13,43
521,D.J. Wilson\wilsodj01,PF,24,HOU,23,1,328,52,125,.416,20,59,.339,32,66,.485,.496,16,23,.696,17,70,87,20,10,12,18,31,140
522,Dylan Windler\windldy01,SF,24,CLE,31,0,513,57,130,.438,26,77,.338,31,53,.585,.538,21,27,.778,20,87,107,33,19,12,32,37,161
523,Justise Winslow\winslju01,SF,24,MEM,24,0,464,65,191,.340,6,48,.125,59,143,.413,.356,17,29,.586,16,87,103,44,15,12,34,43,153
524,Cassius Winston\winstca01,PG,22,WAS,20,0,97,14,33,.424,8,17,.471,6,16,.375,.545,5,6,.833,0,9,9,12,2,1,5,8,41
525,James Wiseman\wisemja01,C,19,GSW,39,27,836,191,368,.519,12,38,.316,179,330,.542,.535,54,86,.628,55,171,226,26,11,36,60,121,448
526,Christian Wood\woodch01,C,25,HOU,41,41,1326,329,640,.514,77,206,.374,252,434,.581,.574,125,198,.631,76,319,395,71,34,48,80,88,860
527,Robert Woodard\woodaro01,SF,21,SAC,11,0,29,7,14,.500,1,4,.250,6,10,.600,.536,3,8,.375,3,8,11,0,0,2,1,2,18
528,Delon Wright\wrighde01,SG-PG,28,TOT,55,31,1475,193,421,.458,49,133,.368,144,288,.500,.517,97,122,.795,52,170,222,229,82,23,66,64,532
528,Delon Wright\wrighde01,SG,28,DET,36,31,1052,136,293,.464,31,89,.348,105,204,.515,.517,71,90,.789,37,127,164,181,58,19,48,45,374
528,Delon Wright\wrighde01,PG,28,SAC,19,0,423,57,128,.445,18,44,.409,39,84,.464,.516,26,32,.813,15,43,58,48,24,4,18,19,158
529,Thaddeus Young\youngth01,PF,32,CHI,60,18,1452,331,574,.577,10,37,.270,321,537,.598,.585,58,92,.630,147,222,369,259,68,33,118,142,730
530,Trae Young\youngtr01,PG,22,ATL,56,56,1913,432,995,.434,129,359,.359,303,636,.476,.499,437,498,.878,35,181,216,527,50,11,236,103,1430
531,Cody Zeller\zelleco01,C,28,CHO,40,20,819,143,263,.544,4,26,.154,139,237,.586,.551,68,93,.731,100,169,269,74,23,14,41,93,358
532,Ivica Zubac\zubaciv01,C,23,LAC,65,26,1461,233,362,.644,0,3,.000,233,359,.649,.644,127,162,.784,177,297,474,81,24,56,75,170,593
