Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
29,RJ Barrett,SG,22,NYK,35,1192,13.3,.532,.331,.342,2.7,14.5,8.5,13.4,0.7,0.5,11.6,26.0,,0.4,1.0,1.3,.053,,-0.6,-1.5,-2.0,0.0,barrerj01
30,Will Barton,SG,32,WAS,31,692,9.7,.486,.480,.141,1.2,13.7,7.6,16.8,1.1,1.1,12.3,19.0,,-0.4,0.5,0.1,.007,,-2.2,-1.1,-3.3,-0.2,bartowi01
31,Charles Bassey,C,22,SAS,23,313,18.4,.695,.086,.343,15.1,28.5,21.4,12.2,1.2,6.0,24.4,14.2,,0.5,0.3,0.8,.127,,-1.0,1.1,0.1,0.2,bassech01
32,Keita Bates-Diop,SF,27,SAS,27,496,14.3,.601,.236,.268,7.1,11.3,9.1,6.2,1.7,0.7,10.7,16.5,,0.6,0.1,0.8,.073,,-0.3,-1.7,-2.0,0.0,bateske01
33,Nicolas Batum,PF,34,LAC,36,774,12.5,.622,.790,.148,4.8,17.4,11.3,8.7,1.5,3.3,12.2,12.0,,0.9,1.2,2.1,.132,,-0.5,2.1,1.6,0.7,batumni01
34,Darius Bazley,PF,22,OKC,23,381,12.9,.500,.295,.366,5.7,18.1,11.8,7.7,1.5,6.1,9.7,15.7,,0.0,0.5,0.6,.071,,-1.9,0.9,-1.1,0.1,bazleda01
35,Bradley Beal,SG,29,WAS,23,793,21.2,.619,.271,.292,2.9,8.5,5.8,25.0,1.4,1.5,12.8,27.6,,1.6,0.5,2.2,.131,,4.0,-1.1,2.9,1.0,bealbr01
36,Malik Beasley,SG,26,UTA,37,1005,13.1,.551,.687,.071,2.2,12.9,7.5,8.0,1.6,0.4,7.0,21.4,,0.7,0.7,1.4,.066,,0.6,-1.2,-0.6,0.4,beaslma01
37,MarJon Beauchamp,SF,22,MIL,23,335,9.5,.541,.587,.157,6.4,11.8,9.2,4.7,1.6,0.5,15.1,19.1,,-0.1,0.4,0.3,.042,,-3.2,-0.8,-4.0,-0.2,beaucma01
38,Dāvis Bertāns,PF,30,DAL,16,154,13.4,.624,.879,.207,3.0,7.8,5.4,4.0,1.0,1.2,5.9,19.8,,0.3,0.1,0.4,.112,,1.3,-1.8,-0.5,0.1,bertada01
39,Patrick Beverley,PG,34,LAL,28,757,7.9,.517,.642,.209,2.3,12.0,7.3,12.2,1.6,1.6,14.3,10.6,,0.2,0.6,0.8,.051,,-3.6,1.1,-2.5,-0.1,beverpa01
