
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
20,D.J. Augustin,PG,33,HOU,20,416,15.5,.604,.583,.358,2.2,9.4,5.6,28.3,0.9,0.0,15.1,21.0,,0.8,0.1,0.9,.103,,0.6,-2.6,-2.0,0.0,augusdj01
21,Deni Avdija,SF,20,WAS,54,1257,7.6,.515,.538,.144,1.9,20.2,11.0,6.3,1.2,1.0,9.0,12.0,,0.0,1.2,1.2,.046,,-3.6,0.4,-3.1,-0.4,avdijde01
22,Deandre Ayton,C,22,PHO,69,2115,20.3,.653,.029,.252,12.4,26.3,19.5,6.8,1.0,3.4,11.9,18.2,,5.3,3.1,8.4,.191,,1.1,0.1,1.2,1.7,aytonde01
23,Udoka Azubuike,C,21,UTA,15,57,10.3,.597,.000,1.111,7.8,16.0,12.1,0.0,0.9,5.7,18.3,12.4,,0.0,0.1,0.1,.119,,-5.5,1.7,-3.8,0.0,azubuud01
24,Dwayne Bacon,SG,25,ORL,72,1853,9.9,.490,.285,.242,1.7,11.2,6.3,7.9,1.2,0.2,5.4,19.8,,-0.3,0.9,0.5,.013,,-3.7,-1.4,-5.1,-1.5,bacondw01
25,Marvin Bagley III,PF,21,SAC,43,1112,16.3,.554,.220,.273,10.4,21.5,15.9,5.8,0.9,1.6,9.7,23.5,,0.9,0.5,1.4,.059,,-0.4,-2.7,-3.1,-0.3,baglema01
26,LaMelo Ball,PG,19,CHO,51,1469,17.5,.539,.388,.246,4.6,17.9,11.1,33.9,2.7,1.2,16.3,26.1,,1.0,1.9,2.8,.093,,1.1,0.7,1.8,1.4,ballla01
27,Lonzo Ball,PG,23,NOP,55,1747,15.2,.551,.650,.091,2.1,14.3,8.2,25.4,2.3,1.7,14.5,20.5,,1.5,1.7,3.2,.089,,1.4,0.3,1.7,1.6,balllo01
28,Mo Bamba,C,22,ORL,46,725,19.3,.556,.392,.219,10.5,28.0,19.0,8.1,0.9,7.3,9.8,21.8,,0.7,1.1,1.8,.117,,0.2,0.0,0.1,0.4,bambamo01
29,Desmond Bane,SG,22,MEM,68,1519,12.2,.600,.543,.098,2.1,12.6,7.3,10.6,1.3,0.9,10.2,16.1,,1.6,1.3,2.9,.093,,-0.6,-0.2,-0.8,0.5,banede01
30,Harrison Barnes,PF,28,SAC,58,2102,15.4,.626,.399,.366,3.3,17.2,10.2,13.0,1.0,0.4,11.1,17.2,,4.0,0.5,4.5,.103,,1.5,-1.3,0.2,1.1,barneha02
31,RJ Barrett,SG,20,NYK,72,2511,13.4,.535,.292,.260,3.0,14.8,8.9,13.8,1.1,0.8,10.5,23.4,,0.9,3.1,4.1,.078,,-0.9,-0.3,-1.2,0.5,barrerj01
32,Will Barton,SF,30,DEN,56,1736,11.8,.538,.423,.199,2.6,12.2,7.4,14.1,1.4,1.3,12.7,19.0,,0.7,1.5,2.2,.061,,-1.0,-0.8,-1.9,0.1,bartowi01
33,Keita Bates-Diop,SF,25,SAS,30,245,12.0,.518,.254,.313,3.8,17.7,10.6,6.6,2.2,1.7,8.4,14.8,,0.1,0.3,0.3,.068,,-2.3,0.4,-1.9,0.0,bateske01
34,Nicolas Batum,SF,32,LAC,67,1835,12.9,.617,.660,.141,3.2,15.9,9.7,10.5,1.9,1.8,10.8,11.8,,2.7,2.3,5.0,.132,,0.6,1.5,2.1,1.9,batumni01
35,Aron Baynes,C,34,TOR,53,980,10.5,.503,.339,.135,9.4,21.7,15.3,7.0,0.8,2.3,12.5,16.2,,0.1,0.9,1.0,.049,,-3.4,-1.1,-4.5,-0.6,baynear01
36,Kent Bazemore,SF,31,GSW,67,1333,10.6,.564,.469,.199,2.1,16.0,9.1,11.1,2.4,2.2,16.1,16.3,,-0.2,2.1,1.8,.065,,-2.9,1.7,-1.2,0.2,bazemke01
37,Darius Bazley,PF,20,OKC,55,1714,9.7,.491,.414,.258,3.1,21.2,12.0,8.9,0.8,1.3,13.7,22.1,,-2.3,1.4,-0.9,-0.026,,-3.1,-1.3,-4.4,-1.0,bazleda01
