Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,C,23,TOR,12,0,245,36,92,.391,5,28,.179,31,64,.484,.418,28,33,.848,24,60,84,16,2,7,15,19,105,achiupr01
2,Steven Adams,C,29,MEM,30,30,788,103,175,.589,0,1,.000,103,174,.592,.589,26,78,.333,143,166,309,65,24,35,57,69,232,adamsst01
3,Bam Adebayo,C,25,MIA,31,31,1093,258,482,.535,1,10,.100,257,472,.544,.536,130,157,.828,79,228,307,101,29,21,94,98,647,adebaba01
4,Ochai Agbaji,SG,22,UTA,16,0,127,17,42,.405,5,21,.238,12,21,.571,.464,4,9,.444,6,11,17,3,1,0,0,13,43,agbajoc01
5,Santi Aldama,PF,22,MEM,32,16,756,110,230,.478,43,113,.381,67,117,.573,.572,47,65,.723,40,127,167,42,24,29,19,76,310,aldamsa01
6,Nickeil Alexander-Walker,SG,24,UTA,26,2,402,65,133,.489,29,69,.420,36,64,.563,.598,19,26,.731,8,33,41,59,17,10,33,44,178,alexani01
7,Grayson Allen,SG,27,MIL,31,29,852,104,235,.443,54,141,.383,50,94,.532,.557,57,61,.934,31,81,112,77,23,6,34,43,319,allengr01
8,Jarrett Allen,C,24,CLE,28,28,931,154,248,.621,0,4,.000,154,244,.631,.621,80,109,.734,83,200,283,41,21,34,43,63,388,allenja01
9,Jose Alvarado,PG,24,NOP,33,7,683,109,257,.424,48,137,.350,61,120,.508,.518,34,46,.739,15,61,76,98,43,4,45,71,300,alvarjo01
10,Kyle Anderson,PF,29,MIN,25,10,608,66,138,.478,10,29,.345,56,109,.514,.514,40,50,.800,13,93,106,85,28,20,36,47,182,anderky01
11,Giannis Antetokounmpo,PF,28,MIL,29,29,973,330,623,.530,22,90,.244,308,533,.578,.547,237,368,.644,65,270,335,150,25,26,110,105,919,antetgi01
12,Thanasis Antetokounmpo,SF,30,MIL,16,0,69,3,6,.500,0,1,.000,3,5,.600,.500,1,2,.500,4,10,14,3,2,3,5,4,7,antetth01
13,Cole Anthony,PG,22,ORL,19,3,499,86,196,.439,25,72,.347,61,124,.492,.503,48,53,.906,9,77,86,84,16,7,33,63,245,anthoco01
14,OG Anunoby,SF,25,TOR,30,30,1111,210,437,.481,52,146,.356,158,291,.543,.540,93,112,.830,41,135,176,62,66,25,75,88,565,anunoog01
15,Ryan Arcidiacono,PG,28,NYK,8,0,22,1,5,.200,1,3,.333,0,2,.000,.300,0,0,,0,4,4,2,2,0,1,2,3,arcidry01
16,Deni Avdija,SF,22,WAS,34,29,882,99,235,.421,31,102,.304,68,133,.511,.487,46,58,.793,30,157,187,89,26,22,48,104,275,avdijde01
17,Deandre Ayton,C,24,PHO,32,32,931,252,407,.619,7,18,.389,245,389,.630,.628,68,93,.731,97,212,309,61,17,26,67,94,579,aytonde01
18,Udoka Azubuike,C,23,UTA,15,0,63,12,14,.857,0,0,,12,14,.857,.857,2,6,.333,10,17,27,5,2,3,3,5,26,azubuud01
19,Marvin Bagley III,PF,23,DET,22,13,482,96,176,.545,8,28,.286,88,148,.595,.568,36,46,.783,47,87,134,13,13,15,21,44,236,baglema01
20,Patrick Baldwin Jr.,SF,20,GSW,10,0,80,17,37,.459,13,29,.448,4,8,.500,.635,1,2,.500,0,14,14,2,4,0,3,1,48,baldwpa01
21,LaMelo Ball,PG,21,CHO,11,11,374,95,228,.417,45,123,.366,50,105,.476,.515,23,28,.821,12,48,60,83,12,2,35,40,258,ballla01
22,Mo Bamba,C,24,ORL,30,5,567,89,177,.503,33,87,.379,56,90,.622,.596,31,45,.689,38,122,160,32,8,32,20,70,242,bambamo01
23,Paolo Banchero,PF,20,ORL,29,29,987,199,450,.442,35,112,.313,164,338,.485,.481,173,230,.752,33,162,195,112,27,17,85,70,606,banchpa01
24,Desmond Bane,SG,24,MEM,15,15,479,109,251,.434,48,121,.397,61,130,.469,.530,70,76,.921,6,61,67,59,8,4,30,38,336,banede01
25,Dalano Banton,PG,23,TOR,22,2,222,44,104,.423,13,43,.302,31,61,.508,.486,14,17,.824,9,23,32,26,12,12,13,24,115,bantoda01
26,Dominick Barlow,SF,19,SAS,4,0,26,3,7,.429,0,3,.000,3,4,.750,.429,4,4,1.000,2,1,3,3,1,0,0,3,10,barlodo01
27,Harrison Barnes,PF,30,SAC,33,33,1040,140,297,.471,38,126,.302,102,171,.596,.535,133,165,.806,32,145,177,60,27,4,42,47,451,barneha02
28,Scottie Barnes,PF,21,TOR,31,30,1044,183,406,.451,31,103,.301,152,303,.502,.489,57,74,.770,60,154,214,145,26,21,71,56,454,barnesc01
29,RJ Barrett,SG,22,NYK,35,35,1192,241,565,.427,62,187,.332,179,378,.474,.481,147,193,.762,30,161,191,104,18,6,85,83,691,barrerj01
30,Will Barton,SG,32,WAS,31,0,692,92,248,.371,44,119,.370,48,129,.372,.460,28,35,.800,7,87,94,85,16,9,37,36,256,bartowi01
31,Charles Bassey,C,22,SAS,23,1,313,47,70,.671,2,6,.333,45,64,.703,.686,16,24,.667,44,76,120,28,8,22,26,48,112,bassech01
32,Keita Bates-Diop,SF,27,SAS,27,10,496,82,157,.522,13,37,.351,69,120,.575,.564,34,42,.810,33,48,81,22,18,4,21,23,211,bateske01
33,Nicolas Batum,PF,34,LAC,36,5,774,79,176,.449,59,139,.424,20,37,.541,.616,16,26,.615,33,126,159,48,23,29,26,73,233,batumni01
34,Darius Bazley,PF,22,OKC,23,1,381,49,112,.438,12,33,.364,37,79,.468,.491,20,41,.488,21,64,85,22,12,26,14,28,130,bazleda01
35,Bradley Beal,SG,29,WAS,23,23,793,204,387,.527,36,105,.343,168,282,.596,.574,97,113,.858,20,62,82,120,23,14,64,43,541,bealbr01
