Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
484,Terry Rozier,SG,27,CHO,73,73,2458,518,1167,.444,222,593,.374,296,574,.516,.539,150,176,.852,56,259,315,326,93,25,96,119,1408,roziete01
485,Ricky Rubio,PG,31,CLE,34,8,970,149,411,.363,59,174,.339,90,237,.380,.434,88,103,.854,15,126,141,225,49,7,90,75,445,rubiori01
486,D'Angelo Russell,PG,25,MIN,65,65,2077,401,975,.411,176,518,.340,225,457,.492,.502,198,240,.825,25,191,216,460,62,22,165,130,1176,russeda01
487,Matt Ryan,SF,24,BOS,1,0,5,1,5,.200,1,5,.200,0,0,,.300,0,0,,0,0,0,0,1,0,0,0,3,ryanma01
488,Domantas Sabonis,PF-C,25,TOT,62,61,2136,443,773,.573,39,125,.312,404,648,.623,.598,246,332,.741,201,551,752,323,59,27,195,203,1171,sabondo01
488,Domantas Sabonis,PF,25,IND,47,46,1632,331,571,.580,35,108,.324,296,463,.639,.610,191,258,.740,155,412,567,236,46,22,143,146,888,sabondo01
488,Domantas Sabonis,C,25,SAC,15,15,504,112,202,.554,4,17,.235,108,185,.584,.564,55,74,.743,46,139,185,87,13,5,52,57,283,sabondo01
489,Olivier Sarr,C,22,OKC,22,2,421,58,101,.574,13,29,.448,45,72,.625,.639,24,29,.828,34,59,93,19,6,15,22,52,153,sarrol01
490,Tomáš Satoranský,SG-PG-SF,30,TOT,55,13,906,72,191,.377,11,53,.208,61,138,.442,.406,43,54,.796,27,99,126,184,29,5,46,71,198,satorto01
490,Tomáš Satoranský,SG,30,NOP,32,3,481,32,107,.299,5,31,.161,27,76,.355,.322,19,25,.760,18,46,64,76,14,1,23,33,88,satorto01
490,Tomáš Satoranský,SF,30,SAS,1,0,9,0,0,,0,0,,0,0,,,3,4,.750,0,1,1,0,0,0,0,0,3,satorto01
490,Tomáš Satoranský,PG,30,WAS,22,10,416,40,84,.476,6,22,.273,34,62,.548,.512,21,25,.840,9,52,61,108,15,4,23,38,107,satorto01
491,Jordan Schakel,SG,23,WAS,4,0,30,1,11,.091,1,6,.167,0,5,.000,.136,2,2,1.000,2,6,8,0,1,0,1,0,5,schakjo01
492,Admiral Schofield,SF,24,ORL,38,1,469,54,129,.419,26,79,.329,28,50,.560,.519,12,15,.800,17,72,89,25,4,5,21,58,146,schofad01
